"source";"Act. GI Day";"Actual delivery date";"BG  booked";"BG  booked2";"Calendar Day";"Carrier";"Carrier2";"Company Code";"Company Code2";"Core Business Indicator";"Core Business Indicator2";"Country ship-to";"Country ship-to2";"Country sold-to";"Country sold-to2";"Created on";"Cust Hier1";"Cust Hier12";"Cust Hier2";"Cust Hier22";"Cust Hier3";"Cust Hier32";"Customer Channel";"Customer Channel2";"Customer Cluster";"Customer Cluster2";"Delivery date plann.";"Delivery plant";"Delivery plant2";"Document currency";"Document currency2";"Exchange rate effect";"Extern. Sales Office";"Extern. Sales Office2";"FI-ML0";"FI-ML02";"Fiscal year/period";"Fiscal year/period2";"Int. Sales Group";"Int. Sales Group2";"Int. Sales office";"Int. Sales office2";"Key Industry";"Key Industry2";"Leg transp. Chain";"Leg transp. Chain2";"Loading Country";"Loading Country2";"Loading location";"Loading location2";"Marketing Customer ship-to";"Marketing Customer ship-to2";"Marketing Customer sold-to";"Marketing Customer sold-to2";"Marketing Level 0";"Marketing Level 02";"Marketing Level 1";"Marketing Level 12";"Marketing Level 2";"Marketing Level 22";"Marketing Level 3";"Marketing Level 32";"Marketing Level 4";"Marketing Level 42";"Material";"Material2";"Mode of transport";"Mode of transport2";"Net due date";"PH3 Cluster";"PH3 Cluster2";"Plan. goods is. date";"Plant";"Plant2";"Posting date";"Prod.Hier.1";"Prod.Hier.12";"Prod.Hier.2";"Prod.Hier.22";"Prod.Hier.3";"Prod.Hier.32";"Prod.Hier.4";"Prod.Hier.42";"Prod.Hier.5";"Prod.Hier.52";"Prod.Hier.6";"Prod.Hier.62";"Prod.Hier.622";"Prod.Hier.6222";"Produced Material";"Produced Material2";"Region ship-to";"Region ship-to2";"Region sold-to";"Region sold-to2";"Reporting Unit  book";"Reporting Unit  book2";"Risk Class";"Risk Class2";"Risk category";"Risk category2";"SBE";"SBE2";"Sales Organization";"Sales Organization2";"Ship-to";"Ship-to2";"ShipTo State/ Province";"ShipTo State/ Province2";"Sold-to";"Sold-to2";"SoldTo State/ Province";"SoldTo State/ Province2";"Subregion ship-to";"Subregion ship-to2";"Subregion sold-to";"Subregion sold-to2";"T3 Arr. Date planned";"T3 Arr. date actual";"T3 Loading Loc. ROI";"T3 Loading Loc. ROI2";"T3 SH Shipper";"T3 SH Shipper2";"TM Destin. Location";"TM Destin. Location2";"Unpacked good";"Unpacked good2";"KPI AR-KeyDate: Amount in EUR";"KPI AR-KeyDate: Counter";"KPI AR-KeyDate: Net Value of Billing Item (DC)";"KPI AR-KeyDate: Weighted WoC Target days";"KPI AR-KeyDate: Weighted target days";"KPI AR-PM: Amount EUR";"KPI AR-PM: Counter";"KPI AR-PM: Diff WoC Target";"KPI AR-PM: EDO (Effective Days Outstanding)";"KPI AR-PM: Performance Days";"KPI AR-PM: Posting Days";"KPI AR-PM: Weighted WoC Target days";"KPI AR-PM: Weighted days late";"KPI AR-PM: Weighted performance";"KPI AR-PM: Weighted target days";"KPI COPA: Gross Sales Qty";"KPI COPA: Gross sales";"KPI COPA: Net proceeds";"KPI COPA: Net sales";"KPI COPA: Sales adjustments";"KPI COPA: Sales deductions";"KPI COSMOS: Consolidated Marginal Income 2a";"KPI COSMOS: Consolidated Marginal Income I";"KPI COSMOS: Gross Sales";"KPI COSMOS: Gross Sales Qty (in+ex)";"KPI COSMOS: Net Proceeds";"KPI COSMOS: Net Sales";"KPI COSMOS: Product Costs  Var.";"KPI COSMOS: Sales Adjustments";"KPI COSMOS: Sales Deductions";"KPI COSMOS: Total Manufacturing Costs  Fix";"KPI OTIF: # OT not in full";"KPI OTIF: # OTIF";"KPI OTIF: # late GI";"KPI OTIF: # late IF";"KPI OTIF: # late NIF";"KPI OTIF: # late create";"KPI OTIF: # late transport";"KPI OTIF: # not in full";"KPI OTIF: # on time";"KPI OTIF: # total deliveries";"KPI OTIF: # total late";"KPI OTIF: # total late+OT NIF";"KPI OTIF: 1. Agreed quantity KG";"KPI OTIF: Delivery Quantity KG";"KPI OTIF: Overdelivery KG";"KPI OTIF: Qty deviation KG";"KPI OTIF: Underdelivery KG";"KPI Sales: Delivery Quantity KG";"KPI Sales: Net value deliv. DC";"KPI Sales: Net value delivery EUR"
"COPA";"";"";"75";"CA";"";"";"";"1175";"Covestro Resins(Fosh";"N";"Non core tolling";"CN";"PR of China";"CN";"PR of China";"";"02";"EP EE";"303";"EP Electrical";"73017";"EP DIS Electrical";"D01";"DIR-Direct";"#";"Not assigned";"";"IKKU";"PRD EP  CPD FLG";"";"";"";"#";"Not assigned";"";"";"009.2025";"009.2025";"599";"SALESGROUP GLOBAL";"B220";"Western Europe";"12";"Chemical";"";"";"";"";"";"";"2090571";"Covestro AG";"2090571";"Covestro AG";"70";"PM";"N70";"PM Sales NA";"761";"PM RPM BC NA";"650";"PM IBC US/CAN  NA";"N608";"PM Baytown Caustic";"2818632";"LIQUID CAUSTIC SODA 50%  0000,00 KG R001";"";"";"";"#";"Not assigned";"";"IKKU";"PRD EP  CPD FLG";"30.09.2025";"76";"BASIC CHEMICALS";"61";"BASIC CHEMICALS";"096";"SODIUMHYDROXIDE";"573";"SODIUMHYD.SOL.50%";"#";"76/61/096/573/Not as";"#";"76/61/096/573/Not as";"";"";"5594561";"LIQUID CAUSTIC SODA 50%";"R3";"APAC";"R3";"APAC";"050";"PRD";"";"";"";"";"52";"PRD";"DF20";"Covestro (Foshan)";"3604521";"Covestro (Shanghai) Investment";"CN 020";"Shanghai";"3604521";"Covestro (Shanghai) Investment";"CN 020";"Shanghai";"R32";"GREATER CHINA";"R32";"GREATER CHINA";"";"";"";"";"";"";"";"";"5594561";"LIQUID CAUSTIC SODA 50%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"798,440";"6132,02";"5584,77";"5885,15";"300,38";"246,87";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Sales";"01.04.2025";"04.04.2025";"";"";"";"";"";"";"";"P";"Core coproducer";"CZ";"Czech Republic";"CZ";"Czech Republic";"31.03.2025";"01";"EP Mobility";"301";"EP Mobility";"73061";"EP MOB Lighting";"D01";"DIR-Direct";"3146";"EP Hella";"01.04.2025";"B8KA";"PRD PM  WS CAO";"EUR";"Euro";"";"";"";"";"";"";"";"";"";"TH01";"Covestro Thailand";"01";"Automotive";"";"";"";"";"";"";"11322077";"Forvia SE";"11322077";"Forvia SE";"73";"EP";"M73";"EP Mobility";"306";"EP Mobility";"142";"EP MOB INT";"A386";"EP MOB INT";"85607880";"B.T65XF         901510            BE100W";"";"";"";"73060";"EP Resins";"29.03.2025";"B8KA";"PRD PM  WS CAO";"";"73";"EP";"31";"RESINS";"414";"BAYBLEND T / GV";"775";"BAYBLEND T XF";"#";"73/31/414/775/Not as";"#";"73/31/414/775/Not as";"5168465";"MULTRANOL 9111";"6566510";"B.T65XF         901510";"R1";"EMEA";"R1";"EMEA";"";"";"";"";"";"";"";"";"";"";"7356710";"HELLA AUTOTECHNIK NOVA s.r.o.";"CZ";"CZ/Not assigned";"7356710";"HELLA AUTOTECHNIK NOVA s.r.o.";"CZ";"CZ/Not assigned";"R12";"EEMEA";"R12";"EEMEA";"";"";"";"";"";"";"";"";"6566510";"B.T65XF         901510";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4413,580";"58479,93";"58347,02"
"COSMOS";"";"";"73";"EP";"04.03.2025";"";"";"1554";"Covestro Polymers (C";"C";"Core external market";"IN";"India";"IN";"India";"";"71";"CA Speedboat";"753";"CA SCS";"75063";"SCS Others";"D01";"DIR-Direct";"#";"Not assigned";"";"B8KB";"PRD EP  CPD CAO B8KB";"";"";"56,19";"#";"Not assigned";"";"";"003.2025";"003.2025";"599";"SALESGROUP GLOBAL";"USP1";"COV USA";"01";"Automotive";"";"";"";"";"";"";"11218359";"PLANT I1AG";"11218359";"PLANT I1AG";"73";"EP";"M73";"EP Mobility";"306";"EP Mobility";"136";"EP MOB Lighting";"A385";"EP MOB Lighting";"3530780";"M.2405C         901510            US2215";"";"";"";"#";"Not assigned";"";"B8KB";"PRD EP  CPD CAO B8KB";"";"73";"EP";"31";"RESINS";"626";"MAKROLON FOR IM - DR";"903";"IM DS OPAQUE";"#";"73/31/626/903/Not as";"#";"73/31/626/903/Not as";"";"";"1446";"M.2405C         901510";"R3";"APAC";"R3";"APAC";"060";"EP Resins";"";"";"";"";"31";"EP";"B820";"COV Polymers (China)";"11218359";"PLANT I1AG";"IN MH";"Maharashtra";"11218359";"PLANT I1AG";"IN MH";"Maharashtra";"R34";"INDIA SUBCONTINENT";"R34";"INDIA SUBCONTINENT";"";"";"";"";"";"";"";"";"1446";"M.2405C         901510";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3218,28";"3364,73";"9622,10";"1924,420";"9209,41";"9204,03";"5844,68";"-5,38";"418,07";"2013,47";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AR-KeyDate";"";"";"75";"CA";"";"";"";"1175";"Covestro Resins(Fosh";"T";"Core tolling";"HK";"Hong Kong";"HK";"Hong Kong";"";"72";"CA Flagship";"722";"CA IC";"75021";"IC Furniture";"I08";"IN-PLA TransPlant";"#";"Not assigned";"";"B8AA";"PRD PM  MDI TRAIN CA";"";"";"";"#";"Not assigned";"70";"PM";"005.2026";"005.2026";"599";"SALESGROUP GLOBAL";"";"";"02";"Construction";"";"";"";"";"";"";"2090571";"Covestro AG";"2090571";"Covestro AG";"70";"PM";"E70";"PM Sales EMLA";"520";"PM TC CON/OTH (MDI+)";"085";"PM Constr. Ins.EMEA";"E015";"PM Metal Panels Cont";"696114";"DESMODUR 44 V 70 L       0000,00 KG T01";"";"";"15.06.2026";"70630";"SMDI";"";"B8AA";"PRD PM  MDI TRAIN CA";"05.05.2026";"70";"PM";"04";"MDI PM";"100";"MDI PM POLYMER";"172";"pMDI";"#";"70/04/100/172/Not as";"#";"70/04/100/172/Not as";"";"";"5637295";"MDI 44 V 70 L";"R3";"APAC";"R3";"APAC";"050";"PRD";"3";"Medium default risk";"#/#";"Not assigned";"52";"PRD";"DF20";"Covestro (Foshan)";"382671";"Covestro (Hong Kong) Limited";"HK HK";"Hong Kong Island";"382671";"Covestro (Hong Kong) Limited";"HK HK";"Hong Kong Island";"R32";"GREATER CHINA";"R32";"GREATER CHINA";"";"";"";"";"";"";"";"";"4383729";"DESMODUR 44 V 70 L";"91757,29";"2,000";"92890,09";"1926903,09";"4129078,05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"COPA";"";"";"73";"EP";"";"";"";"0422";"Covestro (Thailand)";"O";"Non core others";"HK";"Hong Kong";"HK";"Hong Kong";"";"72";"CA Flagship";"722";"CA IC";"75021";"IC Furniture";"I08";"IN-PLA TransPlant";"#";"Not assigned";"";"4AAB";"PRD EP  CPD GUA 4AAB";"";"";"";"#";"Not assigned";"";"";"003.2026";"003.2026";"599";"SALESGROUP GLOBAL";"TW02";"COV Taiwan2 export";"15";"Other Industries";"";"";"";"";"";"";"2090571";"Covestro AG";"2090571";"Covestro AG";"70";"PM";"A70";"PM Sales APAC";"521";"PM TC CON/OTH (MDI+)";"046";"PM Others APAC";"A956";"PM New Custo. APAC";"2536122";"DESMODUR 44 V 20 L       0250,00 KG B13";"";"";"";"70630";"SMDI";"";"4AAB";"PRD EP  CPD GUA 4AAB";"29.03.2026";"70";"PM";"04";"MDI PM";"100";"MDI PM POLYMER";"172";"pMDI";"#";"70/04/100/172/Not as";"#";"70/04/100/172/Not as";"";"";"4203380";"MDI 44 V 20 L";"R3";"APAC";"R3";"APAC";"060";"EP Resins";"";"";"";"";"31";"EP";"TH20";"COV (Thailand) Ltd.";"382671";"Covestro (Hong Kong) Limited";"HK HK";"Hong Kong Island";"382671";"Covestro (Hong Kong) Limited";"HK HK";"Hong Kong Island";"R32";"GREATER CHINA";"R32";"GREATER CHINA";"";"";"";"";"";"";"";"";"5596408";"DESMODUR 44 V 20 L";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3308,517";"41191,04";"38381,42";"38467,97";"86,55";"2723,07";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"COSMOS";"";"";"73";"EP";"19.06.2026";"";"";"1554";"Covestro Polymers (C";"P";"Core coproducer";"CN";"PR of China";"CN";"PR of China";"";"#";"Not assigned";"#";"#";"#";"#";"D01";"DIR-Direct";"#";"Not assigned";"";"IKKU";"PRD EP  CPD FLG";"";"";"-172,88";"BMSPL";"BMS PLANT";"";"";"006.2026";"006.2026";"599";"SALESGROUP GLOBAL";"SHE1";"COV Shenzhen";"01";"Automotive";"";"";"";"";"";"";"11491734";"PLANT 1SU1";"11491734";"PLANT 1SU1";"70";"PM";"E70";"PM Sales EMLA";"515";"PM TC SF/AS (TDI+)";"062";"PM Auto Seating EMEA";"E020";"PM Auto Flex. Foam";"82186973";"HYPERLITE POLYOL1674(LA) 0000,00 KG T01";"";"";"";"70540";"SPET";"";"IKKU";"PRD EP  CPD FLG";"";"70";"PM";"06";"PET PM";"200";"PET LONG-CHAINED";"201";"BASE POLYETHER LONG-";"#";"70/06/200/201/Not as";"#";"70/06/200/201/Not as";"";"";"79791984";"PET 1674";"R3";"APAC";"R3";"APAC";"060";"EP Resins";"";"";"";"";"31";"EP";"B820";"COV Polymers (China)";"11491734";"PLANT 1SU1";"CN 130";"Zhejiang";"11491734";"PLANT 1SU1";"CN 130";"Zhejiang";"R32";"GREATER CHINA";"R32";"GREATER CHINA";"";"";"";"";"";"";"";"";"79848056";"HYPERLITE POLYOL 1674 (LA)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"19675,23";"17692,88";"44352,64";"12493,700";"41692,81";"42071,78";"23999,93";"378,97";"2280,85";"8834,99";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AR-KeyDate";"";"";"73";"EP";"";"";"";"1554";"Covestro Polymers (C";"N";"Non core tolling";"CN";"PR of China";"CN";"PR of China";"";"50";"PM PC Resin";"518";"PM Resins";"70170";"PM Resin Others";"D01";"DIR-Direct";"#";"Not assigned";"";"YBK9";"DCRP MUSTERSERVICE D";"";"";"";"#";"Not assigned";"73";"EP";"006.2026";"006.2026";"599";"SALESGROUP GLOBAL";"";"";"01";"Automotive";"";"";"";"";"";"";"3924587";"Plant NLB6";"3924587";"Plant NLB6";"73";"EP";"M73";"EP Mobility";"306";"EP Mobility";"136";"EP MOB Lighting";"A385";"EP MOB Lighting";"56844280";"M.2407C         901510            BK150W";"";"";"08.07.2026";"73060";"EP Resins";"";"YBK9";"DCRP MUSTERSERVICE D";"06.06.2026";"73";"EP";"31";"RESINS";"626";"MAKROLON FOR IM - DR";"903";"IM DS OPAQUE";"#";"73/31/626/903/Not as";"#";"73/31/626/903/Not as";"";"";"3481";"M.2407C         901510";"R3";"APAC";"R3";"APAC";"060";"EP Resins";"3";"Medium default risk";"0889/#";"0889/Not assigned";"31";"EP";"B820";"COV Polymers (China)";"3924587";"Plant NLB6";"CN 020";"Shanghai";"3924587";"Plant NLB6";"CN 020";"Shanghai";"R32";"GREATER CHINA";"R32";"GREATER CHINA";"";"";"";"";"";"";"";"";"3481";"M.2407C         901510";"9796,84";"2,000";"10022,97";"293905,20";"293905,20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"COSMOS";"";"";"73";"EP";"17.01.2025";"";"";"1705";"Covestro Guangzhou/C";"C";"Core external market";"CN";"PR of China";"CN";"PR of China";"";"#";"Not assigned";"#";"#";"#";"#";"D01";"DIR-Direct";"#";"Not assigned";"";"IKKU";"PRD EP  CPD FLG";"";"";"217,83";"#";"Not assigned";"";"";"001.2025";"001.2025";"LH1";"CHEYO";"JP01";"COV Japan";"12";"Chemical";"";"";"";"";"";"";"2090571";"Covestro AG";"2090571";"Covestro AG";"70";"PM";"E70";"PM Sales EMLA";"721";"PM RPM BC EMLA";"640";"PM MB 2 EMEA";"E114";"PM End user MB 2";"2313662";"SODIUMHYDROXIDE LIQ.50%  0000,00 KG T01";"";"";"";"70800";"BC";"";"IKKU";"PRD EP  CPD FLG";"";"76";"BASIC CHEMICALS";"61";"BASIC CHEMICALS";"096";"SODIUMHYDROXIDE";"573";"SODIUMHYD.SOL.50%";"#";"76/61/096/573/Not as";"#";"76/61/096/573/Not as";"";"";"5452627";"SODIUM HYDROXIDE SOLUTION 50 %";"R3";"APAC";"R3";"APAC";"060";"EP Resins";"";"";"";"";"31";"EP";"4A20";"COV Guangzhou Ltd";"2966974";"Covestro Polymers (China) Company";"CN 020";"Shanghai";"2966974";"Covestro Polymers (China) Company";"CN 020";"Shanghai";"R32";"GREATER CHINA";"R32";"GREATER CHINA";"";"";"";"";"";"";"";"";"5452627";"SODIUM HYDROXIDE SOLUTION 50 %";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"32044,08";"27874,61";"66755,42";"8737,621";"64009,42";"62842,64";"36134,81";"-1166,78";"3912,79";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AR-KeyDate";"";"";"73";"EP";"";"";"";"0422";"Covestro (Thailand)";"T";"Core tolling";"CN";"PR of China";"CN";"PR of China";"";"72";"CA Flagship";"732";"CA Auto";"75012";"Auto OEM Metal";"D01";"DIR-Direct";"#";"Not assigned";"";"B8QA";"PRD CA  ISOCYANATES";"";"";"";"#";"Not assigned";"70";"PM";"004.2025";"004.2025";"599";"SALESGROUP GLOBAL";"";"";"02";"Construction";"";"";"";"";"";"";"2090571";"Covestro AG";"2090571";"Covestro AG";"70";"PM";"E70";"PM Sales EMLA";"520";"PM TC CON/OTH (MDI+)";"085";"PM Constr. Ins.EMEA";"E078";"PM MetalPanelsConti.";"696114";"DESMODUR 44 V 70 L       0000,00 KG T01";"";"";"09.05.2025";"70630";"SMDI";"";"B8QA";"PRD CA  ISOCYANATES";"10.04.2025";"70";"PM";"04";"MDI PM";"100";"MDI PM POLYMER";"172";"pMDI";"#";"70/04/100/172/Not as";"#";"70/04/100/172/Not as";"";"";"5637295";"MDI 44 V 70 L";"R3";"APAC";"R3";"APAC";"060";"EP Resins";"1";"Excellent default";"1257/#";"1257/Not assigned";"31";"EP";"TH20";"COV (Thailand) Ltd.";"3604521";"Covestro (Shanghai) Investment";"CN 020";"Shanghai";"3604521";"Covestro (Shanghai) Investment";"CN 020";"Shanghai";"R32";"GREATER CHINA";"R32";"GREATER CHINA";"";"";"";"";"";"";"";"";"4383729";"DESMODUR 44 V 70 L";"97823,82";"1,000";"98422,29";"1467357,30";"2934714,60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"OTIF";"11.04.2026";"";"";"";"";"11213762";"Shanghai Pengan Logi";"";"";"C";"Core external market";"CN";"PR of China";"CN";"PR of China";"";"52";"PM Consumer Goods";"517";"PM Soft Furniture";"70049";"PM Furnit FF Slabsto";"D01";"DIR-Direct";"#";"Not assigned";"";"YBK9";"DCRP MUSTERSERVICE D";"";"";"";"";"";"";"";"";"";"";"";"B220";"Western Europe";"05";"Wood & Furniture";"#";"#";"DE";"Germany";"DE/DOR A831 M";"DOR A831 MSC-Südseite";"2090571";"Covestro AG";"2090571";"Covestro AG";"70";"PM";"N70";"PM Sales NA";"540";"PM TC SF/AS (TDI+)";"083";"PM Flex Foam NA";"N002";"PM Slabstock Foam";"1677180";"MONDUR TD 80 GRADE A     0000,00 KG T001";"80";"Barge";"";"#";"Not assigned";"";"YBK9";"DCRP MUSTERSERVICE D";"";"70";"PM";"05";"TDI PM";"140";"TDI T 80";"191";"TDI T 80";"#";"70/05/140/191/Not as";"#";"70/05/140/191/Not as";"";"";"409448";"TDI T 80";"R3";"APAC";"R3";"APAC";"";"";"";"";"";"";"";"";"";"";"3604521";"Covestro (Shanghai) Investment";"CN 020";"Shanghai";"3604521";"Covestro (Shanghai) Investment";"CN 020";"Shanghai";"R32";"GREATER CHINA";"R32";"GREATER CHINA";"23.04.2026";"23.04.2026";"DE DOR A831 M";"DOR A831 MSC-Südseite";"#";"#";"990000003116";"Covestro (India) Private Limited";"5289033";"MONDUR TD 80 GRADE A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,000";"1,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"1,000";"1,000";"0,000";"0,000";"1225,640";"1225,640";"0,000";"0,000";"-0,000";"";"";""
